Year,Name,College,Position,Height,Weight,40_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,3_Cone
2019,Nate Davis,North Carolina Charlotte,OG,75.25,316,5.23,23.0,26.0,107.0,4.83,
2019,Ryan Davis,Auburn,WR,69.88,189,4.63,12.0,35.0,124.0,4.23,
2019,Titus Davis,Central Florida,DE,73.63,236,5.12,20.0,29.0,109.0,4.5,7.24
2019,Jamel Dean,Auburn,CB,73.0,206,4.3,16.0,41.0,130.0,4.19,
2019,Michael Deiter,Wisconsin,OG,77.13,309,5.23,21.0,28.0,105.0,4.81,
2019,Lukas Denis,Boston College,S,71.25,190,4.64,16.0,33.5,116.0,4.09,
2019,Mason Denley,Houston,OG,75.75,296,5.22,28.0,29.5,111.0,4.81,7.71
2019,Stephen Denmark,Valdosta State (Ga),SS,74.5,220,4.46,19.0,43.5,130.0,4.27,7.4
2019,Andre Dillard,Washington State,OT,77.0,315,4.96,24.0,29.0,118.0,4.4,
2019,Joe Dineen,Kansas,ILB,74.25,231,4.66,20.0,33.0,115.0,,
2019,D'Cota Dixon,Wisconsin,S,69.63,204,4.81,20.0,33.5,119.0,4.05,6.93
2019,Johnnie Dixon,Ohio State,WR,70.38,201,4.41,16.0,37.5,120.0,4.43,7.38
2019,Tyrel Dodson,Texas A&M,LB,72.38,237,4.6,24.0,35.0,118.0,4.5,7.59
2019,Michael Dogbe,Temple,DT,75.0,284,5.07,34.0,,110.0,4.62,7.49
2019,Malik Dorton,Southern California,DT,73.75,280,5.12,24.0,22.5,103.0,4.68,7.39
2019,Keelan Doss,Uc-Davis,WR,74.75,211,4.56,8.0,36.0,124.0,,
2019,Tymere Dubose,Kentucky,DT,76.63,306,5.38,18.0,24.5,99.0,5.07,7.9
2019,Ashton Dulin,Malone (Oh),WR,73.38,215,4.43,13.0,38.0,121.0,4.22,6.81
2019,Eric Dungey,Syracuse,QB,74.75,226,4.78,22.0,31.5,114.0,4.5,7.02
2019,Landis Durham,Texas A&M,OLB,73.88,249,4.85,17.0,35.0,117.0,4.43,7.38
2019,Alec Eberle,Florida State,C,75.38,297,5.51,26.0,26.5,98.0,4.8,7.94
2019,Chuma Edoga,Southern California,OT,75.5,308,5.19,21.0,24.5,108.0,4.53,7.47
2019,David Edwards,Wisconsin,OT,78.25,308,5.28,16.0,25.5,99.0,4.77,
2019,Javier Edwards,Colorado,DT,73.75,323,5.1,31.0,29.0,106.0,4.83,7.99
2019,T.J. Edwards,Wisconsin,LB,72.38,230,4.87,16.0,32.5,112.0,4.28,7.06
2019,Emeke Egbule,Houston,LB,73.88,245,4.65,20.0,33.0,119.0,4.38,7.09
2019,E.J. Ejiya,North Texas,OLB,73.0,235,4.82,18.0,35.5,118.0,4.3,7.22
2019,Tony Ellison,Arizona,WR,71.0,181,4.68,2.0,30.0,123.0,4.2,6.77
2019,Kaden Elliss,Idaho,OLB,74.25,238,4.71,20.0,34.5,120.0,4.13,6.63
2019,Marcus Epps,Wyoming,FS,71.75,197,4.55,17.0,38.5,124.0,4.07,6.77
2019,Bobby Evans,Oklahoma,OG,76.38,312,5.2,22.0,27.5,116.0,4.72,8.0
2019,Brandon Fanaika,Stanford,OG,74.5,317,5.48,23.0,26.5,99.0,4.79,7.62
2019,Noah Fant,Iowa,TE,76.13,249,4.5,20.0,39.5,127.0,4.22,
2019,Koa Farmer,Penn State,OLB,72.88,228,4.54,24.0,37.0,124.0,4.28,6.87
2019,Tanner Farmer,Nebraska,OG,75.38,315,5.26,39.0,32.5,118.0,4.71,7.91
2019,Rashad Fenton,South Carolina,CB,71.0,193,4.52,12.0,34.0,117.0,4.25,7.06
2019,Jaylon Ferguson,Louisiana Tech,DE,76.75,271,4.82,24.0,32.0,117.0,5.12,8.08
2019,Jazz Ferguson,Northwestern State (La),WR,76.75,227,4.45,8.0,37.0,123.0,4.59,7.13
2019,Quin Ficklin,Utah State,C,74.63,295,5.25,18.0,26.5,106.0,4.81,7.97
2019,Mark Fields,Clemson,CB,69.88,192,4.37,18.0,31.5,120.0,,
2019,Drew Forbes,Southeast Missouri State,OG,76.5,308,4.96,28.0,30.5,107.0,4.7,7.65
2019,Cody Ford,Oklahoma,OG,75.75,329,5.21,19.0,28.5,104.0,4.87,
2019,Hjalte Froholdt,Arkansas,OG,76.63,306,5.2,31.0,27.5,105.0,4.54,
2019,Travis Fulgham,Old Dominion (Va),WR,74.38,215,4.58,15.0,36.5,126.0,4.22,6.84
2019,Lamont Gaillard,Georgia,C,74.38,305,5.15,18.0,26.5,97.0,4.78,7.81
2019,Greg Gaines,Washington,DT,73.13,312,5.16,30.0,31.0,109.0,4.67,7.75
2019,Rick Gamboa,Colorado,ILB,71.13,231,5.2,18.0,28.0,105.0,4.72,7.69
2019,Malik Gant,Marshall (Wv),S,71.63,209,4.63,17.0,34.5,114.0,4.3,
2019,Chauncey Gardner-Johnson,Florida,S,70.88,210,4.48,17.0,36.0,117.0,4.2,
2019,Rashan Gary,Michigan,DE,76.38,277,4.58,26.0,38.0,120.0,4.29,
2019,Myles Gaskin,Washington,RB,69.25,205,4.58,24.0,35.5,118.0,4.27,
2019,Tyler Gauthier,Miami (Fl),C,76.0,311,5.24,27.0,30.0,104.0,,
2019,Zach Gentry,Michigan,TE,80.13,265,4.9,12.0,29.5,110.0,4.53,7.2
2019,Kyle Gibson,Central Florida,FS,71.63,179,4.68,11.0,33.5,116.0,4.56,7.1
2019,Luke Gifford,Nebraska,OLB,75.0,243,4.68,23.0,35.0,121.0,4.21,7.1
2019,Ulysees Gilbert,Akron,OLB,72.13,224,4.51,20.0,39.5,126.0,4.43,7.03
2019,Joe Giles-Harris,Duke,LB,73.75,234,4.75,17.0,29.5,111.0,4.4,7.09
2019,Cullen Gillaspia,Texas A&M,FB,73.25,234,4.54,20.0,32.5,112.0,4.28,6.95
2019,Kevin Givens,Penn State,DT,73.25,285,5.08,32.0,31.0,115.0,4.62,
2019,Cameron Glenn,Wake Forest,SS,71.5,209,4.59,15.0,32.0,120.0,4.47,7.01
2019,Dan Godsil,Indiana,LS,75.88,241,5.0,16.0,34.5,118.0,4.55,
2019,Derwin Gray,Maryland,OT,76.5,320,5.26,26.0,26.0,90.0,4.94,8.15
2019,Trayone Gray,Miami (Fl),RB,73.0,233,4.45,22.0,32.5,121.0,4.6,7.45
2019,Gerri Green,Mississippi State,EDG,76.0,252,4.63,24.0,35.0,114.0,4.42,
2019,Marcus Green,Louisiana-Monroe,WR,67.88,190,4.41,14.0,37.0,124.0,4.41,6.88
2019,Jalen Greene,Utah State,WR,73.88,205,4.67,16.0,32.0,122.0,4.46,7.09
2019,Dre Greenlaw,Arkansas,LB,71.5,237,4.73,24.0,33.0,117.0,4.56,7.21
2019,Porter Gustin,Southern California,EDG,76.5,255,4.69,31.0,35.5,119.0,4.22,6.97
2019,Jalen Guyton,North Texas,WR,72.88,212,4.39,13.0,37.5,125.0,4.09,6.9
2019,Breckyn Hager,Texas,OLB,74.75,255,4.87,15.0,39.5,121.0,4.37,7.27
2019,A.T. Hall,Stanford,OG,76.13,303,5.44,18.0,28.0,112.0,4.66,7.78
2019,Emanuel Hall,Missouri,WR,73.88,201,4.39,15.0,43.5,141.0,,
2019,Kemon Hall,North Texas,CB,71.13,196,4.5,13.0,35.0,123.0,4.45,7.15
2019,Terez Hall,Missouri,LB,73.13,230,4.9,20.0,39.5,119.0,4.38,
2019,Saquan Hampton,Rutgers,S,73.38,206,4.48,14.0,36.5,125.0,4.25,6.93
2019,Blake Hance,Northwestern,OT,77.63,305,5.29,27.0,27.0,107.0,4.69,7.65
2019,Terrill Hanks,New Mexico State,LB,74.0,242,4.98,21.0,35.5,118.0,4.52,7.14
2019,Mecole Hardman,Georgia,WR,70.25,187,4.33,17.0,36.5,119.0,4.25,6.75
2019,Kelvin Harmon,North Carolina State,WR,74.13,221,4.6,18.0,32.5,117.0,4.32,
2019,Ajene Harris,Southern California,CB,70.13,181,4.62,9.0,30.0,111.0,4.19,6.84
2019,Damien Harris,Alabama,RB,70.13,216,4.57,16.0,37.0,121.0,,
2019,Jackson Harris,Georgia,TE,76.88,251,4.73,20.0,34.5,122.0,4.38,7.32
2019,Tim Harris,Virginia,CB,73.75,197,4.49,9.0,39.0,139.0,4.36,6.9
2019,Will Harris,Boston College,S,73.0,207,4.41,20.0,36.5,123.0,4.12,
2019,N'Keal Harry,Arizona State,WR,74.88,228,4.53,27.0,38.5,122.0,4.28,7.05
2019,Penny Hart,Georgia State,WR,68.0,180,4.63,18.0,33.5,111.0,4.75,7.64
2019,Montre Hartage,Northwestern,CB,71.38,190,4.68,9.0,34.5,123.0,4.08,
2019,Jay Hayes,Georgia,DE,75.75,277,5.03,22.0,26.5,102.0,4.56,7.53
2019,Phil Haynes,Wake Forest,OG,75.63,322,5.2,33.0,31.0,108.0,4.95,
2019,Jerrod Heard,Texas,WR,73.13,201,4.55,19.0,34.5,116.0,4.44,7.16
2019,Daniel Helm,Duke,TE,76.13,249,4.89,14.0,39.5,125.0,4.37,7.02
2019,Darrell Henderson,Memphis,RB,68.38,208,4.49,22.0,33.5,121.0,4.41,7.03
2019,Dewayne Hendrix,Pittsburgh,DE,75.5,275,4.8,23.0,28.5,115.0,4.63,7.4
2019,Hale Hentges,Alabama,TE,76.25,253,5.04,12.0,33.5,107.0,4.53,7.39
2019,Nate Herbig,Stanford,OG,75.5,335,5.41,29.0,24.0,90.0,5.04,
2019,Karan Higdon,Michigan,RB,69.13,206,4.49,21.0,34.0,123.0,,
2019,Justice Hill,Oklahoma State,RB,69.63,198,4.4,21.0,40.0,130.0,,
2019,Kolin Hill,Texas Tech,DE,73.75,235,4.9,22.0,31.0,118.0,4.65,7.64
2019,Trysten Hill,Central Florida,DT,74.75,308,5.04,28.0,35.0,115.0,4.38,
2019,Jonathan Hilliman,Rutgers,RB,71.38,216,4.49,20.0,34.5,120.0,4.26,7.12
