Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
0.0,16.0,Frank Gore,RB,BUF,0.0,599.0,100.0,,,,699.0
0.0,10.0,T.Y. Hilton,WR,IND,0.0,0.0,501.0,,,,501.0
0.0,13.0,Kenny Stills,WR,HOU,0.0,0.0,561.0,,,,561.0
0.0,15.0,Danny Amendola,WR,DET,19.0,0.0,678.0,,,,697.0
0.0,10.0,Alshon Jeffery,WR,PHI,0.0,2.0,490.0,,,,492.0
2.0,9.0,Dwayne Haskins,QB,WAS,1365.0,101.0,0.0,,,,1466.0
0.0,14.0,Brandin Cooks,WR,LAR,0.0,52.0,583.0,,,,635.0
0.0,16.0,Darren Fells,TE,HOU,0.0,0.0,341.0,,,,341.0
1.0,16.0,Anthony Miller,WR,CHI,0.0,-1.0,656.0,,,,655.0
0.0,16.0,Steven Sims,WR,WAS,0.0,85.0,310.0,,,,395.0
1.0,8.0,Kerryon Johnson,RB,DET,0.0,403.0,127.0,,,,530.0
0.0,16.0,Kyle Rudolph,TE,MIN,0.0,0.0,367.0,,,,367.0
1.0,13.0,Rex Burkhead,RB,NWE,0.0,302.0,279.0,,,,581.0
1.0,16.0,Nyheim Hines,RB,IND,0.0,199.0,320.0,,,,519.0
1.0,15.0,Tony Pollard,RB,DAL,0.0,455.0,107.0,,,,562.0
1.0,11.0,Boston Scott,RB,PHI,0.0,245.0,204.0,,,,449.0
0.0,15.0,Corey Davis,WR,TEN,0.0,0.0,601.0,,,,601.0
0.0,14.0,Phillip Dorsett,WR,NWE,0.0,21.0,397.0,,,,418.0
0.0,14.0,Greg Olsen,TE,CAR,0.0,0.0,597.0,,,,597.0
0.0,13.0,Chase Edmonds,RB,ARI,0.0,303.0,105.0,,,,408.0
1.0,16.0,Noah Fant,TE,DEN,0.0,-12.0,562.0,,,,550.0
1.0,12.0,JuJu Smith-Schuster,WR,PIT,0.0,0.0,552.0,,,,552.0
0.0,16.0,Jonnu Smith,TE,TEN,0.0,78.0,439.0,,,,517.0
0.0,16.0,Jack Doyle,TE,IND,0.0,0.0,448.0,,,,448.0
0.0,16.0,Demarcus Robinson,WR,KAN,0.0,0.0,449.0,,,,449.0
0.0,16.0,Kendrick Bourne,WR,SFO,0.0,0.0,358.0,,,,358.0
0.0,16.0,Allen Lazard,WR,GNB,0.0,21.0,477.0,,,,498.0
1.0,5.0,Drew Lock,QB,DEN,1020.0,72.0,0.0,,,,1092.0
1.0,10.0,Rashaad Penny,RB,SEA,0.0,370.0,83.0,,,,453.0
1.0,8.0,John Ross,WR,CIN,0.0,4.0,506.0,,,,510.0
0.0,8.0,Evan Engram,TE,NYG,0.0,7.0,467.0,,,,474.0
0.0,15.0,Mohamed Sanu,WR,2TM,0.0,11.0,520.0,,,,531.0
0.0,16.0,Tyler Eifert,TE,CIN,0.0,0.0,436.0,,,,436.0
0.0,13.0,Ryan Griffin,TE,NYJ,0.0,0.0,320.0,,,,320.0
0.0,8.0,Kareem Hunt,RB,CLE,0.0,179.0,285.0,,,,464.0
0.0,16.0,Willie Snead,WR,BAL,0.0,2.0,339.0,,,,341.0
0.0,16.0,Jimmy Graham,TE,GNB,0.0,0.0,447.0,,,,447.0
1.0,12.0,Auden Tate,WR,CIN,0.0,0.0,575.0,,,,575.0
0.0,9.0,Taylor Gabriel,WR,CHI,0.0,20.0,353.0,,,,373.0
1.0,8.0,Preston Williams,WR,MIA,0.0,0.0,428.0,,,,428.0
1.0,13.0,Alexander Mattison,RB,MIN,0.0,462.0,82.0,,,,544.0
0.0,16.0,Marquez Valdes-Scantling,WR,GNB,0.0,9.0,452.0,,,,461.0
0.0,14.0,Malcolm Brown,RB,LAR,0.0,255.0,16.0,,,,271.0
0.0,3.0,Jeff Driskel,QB,DET,685.0,151.0,6.0,,,,842.0
